SIGLA;CÓDIGO;DISCIPLINA;
ESZI002-13;EN3604;Filtragem Adaptativa;
ESHC016-13;BH1138;Finanças Corporativas;
ESZC008-13;CS3205;Finanças I (Apreçamento de Ativos);
ESZC009-13;CS3206;Finanças II (Apreçamento de Ativos);
ESHC017-13;BH1106;Finanças Públicas;
ESZG025-13;EN3541;Finanças, Gestão e Administração Financeira;
NHZ3010-09;NH2043;Física Computacional;
ESZE040-13;EN3438;Física de Reatores Nucleares I;
ESZE041-13;EN3440;Física de Reatores Nucleares II;
NHZ3011-09;NH2231;Física de Semicondutores;
NHT3012-13;BC1319;Física do Contínuo;
ESZX021-13;EN3314;Física do Corpo Humano;
BCK0103-13;BC0103;Física Quântica;
NHT3013-13;NH4198;Física Térmica;
NHT4016-13;NH3004;Físico-Química Experimental;
NHZ3014-09;NH2031;Fluidos Quânticos;
ESTE002-13;EN2420;Fontes Não-Renováveis de Energia;
ESTE001-13;EN2419;Fontes Renováveis de Energia;
ESZP019-13;CS4111;Formação das Políticas e do Sistema de Saúde no Brasil;
ESZP020-13;CS4112;Formação das Políticas Educacionais no Brasil;
ESZX121-13;BC1617;Formação do Brasil Contemporâneo;
ESHC018-13;BH1131;Formação Econômica do Brasil;
ESHR006-13;BH1332;Formação Histórica da America Latina ;
ESHP008-13;BH1302;Formação Histórica do Brasil;
ESZP021-13;CS4113;Formação Política do Brasil;
MCZB008-13;MC2402;Formas Diferenciais;
ESTA006-13;EN2708;Fotônica;
NHT3015-13;BC1417;Funções Complexas e Transformadas Integrais;
BCN0402-13;BC0402;Funções de Uma Variável;
BCN0407-13;BC0407;Funções de Várias Variáveis;
MCTB015-13;MC1102;Funções de Variáveis Complexas;
NHT4017-13;NH3601;Funções e Reações Orgânicas;
NHT3016-13;BC1420;Funções Especiais;
ESZX120-13;BC1616;Fundamentos da Economia;
NHT3017-13;NH2802;Fundamentos da Eletrodinâmica;
NHT3018-13;NH2801;Fundamentos da Eletrostática;
NHZ2030-11;NH5124;Fundamentos da Lógica Modal;
NHZ3019-09;NH2021;Fundamentos da Mecânica dos Fluidos;
NHZ3020-09;NH2133;Fundamentos da Relatividade Geral;
MCTD005-13;MC8102;Fundamentos de Álgebra;
MCTD006-13;MC8303;Fundamentos de Análise;
ESZX063-13;EN3614;Fundamentos de Computação Gráfica;
ESTO003-13;BC1416;Fundamentos de Desenho e Projeto;
ESZU007-13;EN3122;Fundamentos de Economia e Sociologia Urbana;
ESTX073-13;EN2701;Fundamentos de Eletrônica;
ESZX125-13;BC1316;Fundamentos de Geologia;
ESTU022-13;BC1332;Fundamentos de Geologia para Engenharia;
MCTD007-13;MC8304;Fundamentos de Geometria;
ESTE006-13;EN2405;Fundamentos de Máquinas Elétricas;
ESZI017-13;EN3622;Fundamentos de Processamento Gráfico;
ESTA013-13;EN2715;Fundamentos de Robótica;
NHT1028-13;BC1315;Genética Geral;
NHT1029-13;BC1323;Genética Molecular;
ESHR007-13;BH1333;Geografia Política;
NHT1030-13;NH1603;Geologia e Paleontologia;
BCN0404-13;BC0404;Geometria Analítica;
MCTB016-13;MC1302;Geometria Diferencial I;
MCTB017-13;MC2103;Geometria Diferencial II;
MCZB009-13;MC2114;Geometria Não Euclidiana;
MCTD009-13;MC8310;Geometria Plana e Construções Geométricas;
ESZU008-13;EN3108;Geomorfologia Descritiva;
ESZX083-13;EN4108;Geomorfologia Descritiva;
ESTX090-13;EN2114;Geotecnia;
ESTU006-13;EN2134;Geotecnia;
ESZU009-13;EN3114;Geotecnia Aplicada ao Planejamento Urbano-Ambiental;
ESZX088-13;EN4114;Geotecnia Aplicada ao Planejamento Urbano-Ambiental;
ESZE052-13;EN3430;Geração Distribuída;
ESZX031-13;EN3411;Geração e Distribuição de Vapor;
ESZE021-13;EN3468;Geração e Distribuição de Vapor;
ESTG008-13;EN2528;Gerência de Ativos;
ESTX059-13;EN2517;Gerência de Ativos Tangíveis e Intangíveis;
ESZI007-13;EN3610;Gerenciamento e Interoperabilidade de Redes;
ESZU010-13;EN3115;Gestão Ambiental na Indústria;
ESZX089-13;EN4115;Gestão Ambiental na Indústria;
ESZG014-13;EN3542;Gestão da Inovação;
ESZG009-13;EN3543;Gestão da Qualidade, Segurança, Saúde e Ambiental aplicada em Projetos;
ESZG024-13;EN3539;Gestão de Custos Avançada;
ESTG009-13;EN2511;Gestão de Operações;
ESZX050-13;EN3516;Gestão de Pessoas;
ESZP022-13;CS4114;Gestão de Projetos Culturais;
ESTX063-13;EN2524;Gestão de Recursos Energéticos e Ambientais;
ESZX114-13;EN4112;Gestão de Recursos Hídricos;
ESZG026-13;EN3544;Gestão de Riscos em Sistemas de Gestão;
ESZG019-13;EN3545;Gestão Estratégica e Organizacional;
ESZU011-13;EN3118;Gestão Urbano-Ambiental;
ESZX091-13;EN4118;Gestão Urbano-Ambiental;
ESHR008-13;BH1153;Globalização e os Processos de Integração Regional;
ESHT008-13;BH1159;Governança Pública, Democracia e Políticas no Território;
ESHP009-13;BH1103;Governo, Burocracia e Administração Pública;
MCZB010-13;MC2401;Grupo Fundamental e Espaço de Recobrimento;
MCTB018-13;MC1304;Grupos;
MCZB011-13;MC2209;Grupos de Lie e Simetrias;
ESTX091-13;EN2116;Habitação e Assentamentos Humanos;
ESTU007-13;EN2133;Habitação e Assentamentos Humanos;
ESZT004-13;CS3409;Habitação e Assentamentos Precários;
ESTX088-13;EN2108;Hidráulica;
ESTU008-13;EN2130;Hidráulica;
ESZE048-13;EN3478;Hidrogênio e Células a Combustível;
ESTU009-13;EN2109;Hidrologia;
NHZ2031-11;NH5129;História da Astronomia;
ESHT009-13;BH1348;História da Cidade e do Urbanismo;
NHZ5008-09;NH4106;História da Ciência e Ensino;
NHH2032-13;BH1311;História da Filosofia Antiga: Aristóteles e o aristotelismo;
NHH2033-13;BH1308;História da Filosofia Antiga: Platão e o platonismo;
NHH2034-13;BH1307;História da Filosofia Contemporânea: o Século XIX;
NHH2035-13;BH1312;História da Filosofia Contemporânea: o Século XX;
NHZ2036-11;NH5107;História da Filosofia da Antiguidade Tardia;
NHZ2037-11;NH5108;História da Filosofia Medieval: Escolas Franciscanas e Nominalismo;
NHH2038-13;BH1309;História da Filosofia Medieval: Patrística e Escolástica;
NHZ2039-11;NH5109;História da Filosofia Moderna: o Idealismo alemão;
NHH2040-13;BH1310;História da Filosofia Moderna: o Iluminismo e seus desdobramentos;
NHH2041-13;BH1306;História da Filosofia Moderna: perspectivas racionalistas;
NHZ2042-11;NH5126;História da Linguagem;
MCTD010-13;MC8311;História da Matemática;
NHZ2043-11;NH5131;História da Sociedade Contemporânea;
NHZ2044-11;NH5105;História das Ciências no Brasil;
NHZ1031-09;NH1009;História das Idéias Biológicas;
ESHR009-13;BH1335;História das Relações Internacionais;
ESZR008-13;CS3302;História de Atuação do Brasil nos Processos de Integração Sul-Americana;
ESHC019-13;BH1301;História do Pensamento Econômico;
ESZU012-13;EN3106;História do Urbanismo;
ESZX081-13;EN4106;História do Urbanismo;
ESHR010-13;BH1336;História e Análise da Política Externa Brasileira;
NHZ2045-11;NH5101;História e Filosofia da Ciência;
ESHC020-13;BH1303;História Econômica Geral;
NHZ2046-11;NH5127;História Social da Tecnologia na América Latina;
NHH2047-13;BH1404;Historiografia e História das Ciências;
BHQ0302-13;BH0302;Identidade e Cultura;
ESZE063-13;EN4417;Impacto Ambiental e Social na Cadeia de Produção de Petróleo;
NHZ1032-09;NH1010;Imunologia;
ESHP010-13;BH1141;Indicadores de Políticas Públicas;
MCZB012-13;MC2308;Inferência Estatística;
ESZI001-13;EN3601;Informação e Sociedade;
ESZT005-13;CS3406;Informática Aplicada ao Planejamento Territorial;
ESZI013-13;EN3618;Informática Industrial;
ESZX106-13;EN3319;Informática Médica;
ESZX129-13;BC2001;Iniciação à Pesquisa Científica I;
ESZX130-13;BC2002;Iniciação à Pesquisa Científica II;
ESZX131-13;BC2003;Iniciação à Pesquisa Científica III;
ESZP023-13;CS4115;Inovação e Desenvolvimento Agroindustrial;
ESHP011-13;BH1405;Inovação nos Serviços Públicos;
ESTG010-13;EN2514;Inovação Tecnológica;
ESTE008-13;EN2403;Instalações Elétricas I;
ESZE011-13;EN3406;Instalações Elétricas II;
ESTX035-13;EN2316;Instalações Hospitalares;
ESZB020-13;EN3336;Instalações Hospitalares;
ESZC010-13;CS3204;Instituições e Governança Global;
ESZP002-13;CS3106;Instituições Judiciais e Políticas Públicas;
ESZP024-13;CS4116;Instituições Políticas, Regulação e Governança na Área Energética;
ESTX021-13;EN2302;Instrumentação Biomédica;
ESTB003-13;EN2330;Instrumentação Biomédica;
ESTX026-13;EN2307;Instrumentação Biomédica Avançada;
ESTB006-13;EN2331;Instrumentação Biomédica Avançada;
ESTO004-13;BC1507;Instrumentação e Controle;
ESZA013-13;EN3714;Instrumentação e Metrologia Óptica;
ESZS003-13;EN3206;Instrumentação e Sensores em Veículos Aeroespaciais;
ESZE025-13;EN3472;Integração e Otimização Energética de Processos;
ESZX109-13;EN3414;Integração e Otimização Energética de Processos;
MCTA014-13;MC3311;Inteligência Artificial;
ESZA022-13;EN3725;Inteligência Artificial em Robótica;
ESZS017-13;EN3217;Interação Fluido-Estrutura;
BCK0104-13;BC0104;Interações Atômicas e Moleculares;
NHZ3021-09;NH2141;Interações da Radiação com a Matéria;
MCZA008-13;MC7104;Interface Humano-Máquina;
NHZ2048-11;NH5115;Interposições da Linguagem à Filosofia Contemporânea;
ESTX056-13;EN2507;Introdução à Administração;
ESZP003-13;BH1144;Introdução à Análise Custo-Benefício de Políticas Públicas;
MCZB013-13;MC2306;Introdução à Análise Estocástica em Finanças;
MCZB014-13;MC2113;Introdução à Análise Funcional;
NHZ3022-09;NH2047;Introdução à Astrofísica;
ESTS003-13;EN2222;Introdução à Astronáutica;
ESZX008-13;EN3212;Introdução à Astronáutica;
ESZX117-13;BC1708;Introdução à Bioengenharia;
ESZB007-13;EN3328;Introdução à Biofotônica e Óptica Biomédica;
ESZB022-13;BC1439;Introdução à Bioinformática;
ESZX016-13;EN3305;Introdução à Biotecnologia;
ESZB005-13;EN3337;Introdução à Biotecnologia;
NHZ3023-09;NH2046;Introdução à Cosmologia;
MCZB015-13;MC1715;Introdução à Criptografia;
MCZX012-13;BC1514;Introdução à Criptografia ;
NHZ4019-09;NH6601;Introdução à Ecologia;
ESHC021-13;BH1101;Introdução à Economia;
ESZB021-13;BC1712;Introdução à Engenharia Biomédica;
ESZE032-13;EN3475;Introdução à Engenharia de Biocombustíveis;
ESZE054-13;EN3432;Introdução à Engenharia do Petróleo I;
ESZE055-13;EN3433;Introdução à Engenharia do Petróleo II;
ESZX040-13;EN3435;Introdução à Engenharia Nuclear;
ESZE037-13;EN3453;Introdução à Engenharia Nuclear;
MCZB016-13;MC2310;Introdução à Estatística Bayesiana;
NHZ5009-09;BC1614;Introdução à Filosofia da Ciência;
MCTC001-13;MC8401;Introdução à Filosofia da Mente;
NHZ3024-09;NH2201;Introdução à Física de Partículas Elementares;
NHT3025-13;BC1313;Introdução à Física Médica;
ESTB017-13;BC1334;Introdução à Física Médica;
NHZ3026-09;BC1203;Introdução à Física Nuclear;
ESTX002-13;EN2122;Introdução à Geologia de Engenharia;
MCTC014-13;BC1415;Introdução à Inferência Estatística;
NHZ2079-08;NH1110;Introdução à Lógica;
ESTX024-13;EN2305;Introdução a Materiais Biocompatíveis;
MCZB018-13;BC1414;Introdução à Modelagem e Processos Estocásticos;
MCTC002-13;BC1008;Introdução à Neurociência;
MCTC003-13;BC1004;Introdução à Neurociência Computacional;
BIN0406-13;BC0406;Introdução à Probabilidade e à Estatística;
NHZ4020-09;NH3204;Introdução a Processos Industriais Biotecnológicos;
ESZP025-13;CS4117;Introdução à Prospecção Tecnológica;
MCZC003-13;MC8106;Introdução à Psicolinguística;
NHZ4021-09;NH3906;Introdução à Química Verde e Química Sustentável;
ESZB014-13;EN3333;Introdução à Robótica;
NHZ4022-09;NH3203;Introdução à Tecnologia do Petróleo;
ESHP012-13;BH1127;Introdução ao Direito Administrativo;
ESHP013-13;BH1125;Introdução ao Direito Constitucional;
ESHR011-13;BH1228;Introdução ao Estudo do Direito ;
ESZI015-13;EN3620;Introdução ao Processamento de Sinais de Voz, Áudio e Acústicos;
ESTA015-13;EN2717;Introdução aos Processos de Fabricação;
ESTG017-13;EN2536;Introdução aos Processos de Fabricação Metal-Mecânico;
MCZB019-13;MC2312;Introdução aos Processos Pontuais;
ESTX017-13;EN2215;Introdução aos Sistemas de Propulsão;
MCZB020-13;MC2107;Introdução aos Sistemas Dinâmicos;
ESTX040-13;EN2406;Introdução aos Sistemas Elétricos de Potência;
ESTE007-13;EN2422;Introdução aos Sistemas Elétricos de Potência;
MCZB021-13;MC2400;Introdução às Curvas Algébricas;
ESTO005-13;BC1710;Introdução às Engenharias;
BCN0405-13;BC0405;Introdução às Equações Diferenciais Ordinárias;
ESHP014-13;BH1100;Introdução às Políticas Públicas;
ESZS014-13;EN3201;Introdução às Vibrações Não Lineares;
ESZX054-13;EN3526;Jogos de Empresas;
ESZI012-13;EN3617;Jogos Digitais: Aspectos Técnicos e Aplicações;
ESZB015-13;EN3318;Laboratório de Bioinformática;
MCZA010-13;MC7113;Laboratório de Engenharia de Software;
NHT3027-13;BC1312;Laboratório de Física Básica I;
NHT3028-13;BC1314;Laboratório de Física Básica II;
NHZ3029-13;BC1311;Laboratório de Física Médica;
NHT3030-13;NH2704;Laboratório de Física Moderna;
ESTX012-13;EN2207;Laboratório de Guiagem, Navegação e Controle;
ESTS006-13;EN2231;Laboratório de Guiagem, Navegação e Controle;
ESZE039-13;EN3437;Laboratório de Instrumentação Nuclear e Radioproteção;
NHZ3031-09;NH2230;Laboratório de Propriedades Físicas de Materiais;
MCZA011-13;MC6002;Laboratório de Redes;
MCZA012-13;MC7301;Laboratório de Sistemas Operacionais;
NHZ3032-09;NH2039;Lasers e Óptica Moderna;
ESTX031-13;EN2312;Legislação Relacionada à Saúde;
ESTB010-13;EN2323;Legislação Relacionada à Saúde;
NHI5010-13;BC1607;LIBRAS;
NHT4023-13;BC1310;Ligações Químicas;
BCN0001-06;BC0501;Linguagens de Programação;
MCTA015-13;MC3106;Linguagens Formais e Autômata;
NHI2049-13;BC1426;Lógica Básica ;
NHI2049-08;BC1502;Lógica Computacional;
NHZ2050-11;NH5138;Lógica e os Fundamentos da Matemática;
ESZG003-13;EN3546;Lógica em Sistemas de Gestão;
ESZA017-13;EN3723;Lógica Programável;
MCZA013-13;MC5002;Lógicas Não Clássicas;
ESZU013-13;EN3111;Logística e Meio Ambiente;
ESZX056-13;EN3531;Macroeconomia;
ESHC022-13;BH1132;Macroeconomia I;
ESHC023-13;BH1134;Macroeconomia II;
ESHC024-13;BH1135;Macroeconomia III;
ESZG029-13;EN3502;Manufatura Integrada por Computador;
ESTX018-13;EN2216;Máquinas de Fluxo;
ESZS025-13;EN3239;Máquinas de Fluxo;
ESTA009-13;EN2711;Máquinas Elétricas;
ESZE022-13;EN3469;Máquinas Térmicas;
MCTB019-13;BC1520;Matemática Discreta;
ESTM007-13;EN2813;Materiais Cerâmicos;
ESTM008-13;EN2814;Materiais Compósitos;
ESTS009-13;EN2230;Materiais Compósitos e Aplicações Estruturais;
ESTO006-13;BC1105;Materiais e Suas Propriedades;
ESTM005-13;EN2811;Materiais Metálicos;
ESZM030-13;EN3828;Materiais Nanoestruturados;
ESZM027-13;EN3825;Materiais para Energia e Ambiente;
ESZM028-13;EN3826;Materiais para Tecnologia da Informação;
ESTM006-13;EN2812;Materiais Poliméricos;
ESZM021-13;EN3819;Matérias Primas Cerâmicas;
NHT3033-13;NH2803;Mecânica Analítica I;
NHZ3034-09;NH2903;Mecânica Analítica II;
NHT3035-13;NH2703;Mecânica Clássica;
NHT3035-08;NH2602;Mecânica Clássica I;
NHT3033-08;NH2702;Mecânica Clássica II;
ESTS014-13;EN2228;Mecânica dos Fluidos Avançada;
ESTO007-13;BC1103;Mecânica dos Fluidos I;
ESTE011-13;EN2412;Mecânica dos Fluidos II;
ESTX019-13;EN2217;Mecânica dos Fluidos Viscosos;
ESTO008-13;BC1104;Mecânica dos Sólidos I;
ESZS018-13;EN3238;Mecânica dos Sólidos II;
NHT3036-13;NH2902;Mecânica Estatística;
NHT3037-13;NH4297;Mecânica Geral;
NHT3009-08;NH0310;Mecânica Ondulatória;
NHT3038-13;NH2805;Mecânica Quântica;
NHZ3039-09;NH2901;Mecânica Quântica Avançada;
NHT4024-13;NH3701;Mecanismos de Reações Orgânicas;
ESHP015-13;BH1104;Meio Ambiente e Políticas Públicas;
ESZP026-13;CS4118;Memória, Identidades Sociais e Cidadania nas Sociedades Complexas Contemporâneas;
ESZT006-13;CS3402;Mercado Imobiliário;
ESZM023-13;EN3821;Metalurgia Física;
MCZB022-13;BC1623;Metateoremas da Lógica Clássica ;
ESHC900-13;BH1403;Metodologia;
ESHR900-13;BH1229;Metodologia de Pesquisa em RI;
ESTS011-13;EN2224;Métodos Computacionais para Análise Estrutural;
ESZX010-13;EN3216;Métodos Computacionais para Análise Estrutural;
ESZM010-13;EN3810;Métodos Computacionais para o Estudo de Biomoléculas;
NHZ3040-13;NH2030;Métodos da Mecânica Quântica;
NHZ4025-09;NH3103;Métodos de Análise em Química Orgânica;
ESTB016-13;EN2327;Métodos de Elementos Finitos aplicados a Sistemas Biomédicos;
NHZ3041-09;NH2035;Métodos de Formação de Imagem e de Inspeção Nuclear;
MCZA014-13;MC4001;Métodos de Otimização;
ESHT010-13;BH1349;Métodos de Planejamento;
ESZU014-13;EN3109;Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental ;
ESZP027-13;CS4119;Métodos e Técnicas Aplicadas às Políticas Públicas Ambientais;
ESZP028-13;CS4120;Métodos e Técnicas Aplicadas às Políticas Públicas Urbanas;
ESHT011-13;BH1350;Métodos e Técnicas de Análise de Informação para o Planejamento;
ESTO009-13;BC1707;Métodos Experimentais em Engenharia;
ESTB001-13;EN2318;Métodos Matemáticos aplicados a Sistemas Biomédicos;
MCZB023-13;BC1412;Métodos Numéricos em EDO's;
MCZB009-13;MC1199;Métodos Numéricos em EDP's;
NHT4026-09;NH3501;Métodos Quantitativos de Análise;
ESHP016-13;BH1227;Métodos Quantitativos para Ciências Sociais;
ESZU015-13;EN3110;Métodos Quantitativos para Planejamento Estratégico;
MCZB024-13;MC2203;Métodos Variacionais;
ESZG030-13;EN3512;Metrologia;
ESTU010-13;EN2105;Microbiologia Ambiental;
NHT1034-13;BC1606;Microbiologia I;
ESHC025-13;BH1130;Microeconomia I;
ESHC026-13;BH1133;Microeconomia II;
NHZ3042-09;NH2332;Microscopia Eletrônica;
MCZA015-13;MC5003;Mineração de Dados;
ESZX059-13;EN3536;Mineração de Dados Aplicada à Engenharia de Gestão;
NHZ4027-09;NH3802;Mineralogia;
ESHT012-13;BH1351;Mobilização Produtiva dos Territórios e Desenvolvimento Local;
NHT1035-13;BC1409;Modelagem de Sistemas Biológicos;
ESTB008-13;EN2322;Modelagem e Simulação de Sistemas Biomédicos;
ESTX029-13;EN2310;Modelagem, Simulação e Controle Aplicados a Sistemas Biológicos;
ESZG020-13;EN3514;Modelos de Comunicação nas Organizações;
ESZG032-13;EN3556;Modelos e Ferramentas de Gestão Ambiental;
ESZP004-13;CS3102;Modelos e Práticas Colaborativas em CT&I;
ESZC012-13;BH1330;Modelos Econômicos e Análise das Dinâmicas Territoriais;
MCZB025-13;MC2109;Módulos;
ESHC902-13;BH1420;Monografia I;
ESHC903-13;BH1421;Monografia II;
NHT1036-13;NH4906;Morfofisiologia Evolutiva;
ESZE018-13;EN3408;Motores de Combustão Interna;
ESZP029-13;CS4121;Movimentos Sindicais, Sociais e Culturais;
ESZC013-13;BH1407;Mudança Tecnológica e Dinâmica Capitalista na Economia Contemporânea;
ESZM002-13;EN3802;Nanociência e Nanotecnologia;
ESZM031-13;EN3829;Nanocompósitos;
NHZ3060-09;BC1613;Nascimento e Desenvolvimento da Ciência Moderna;
BCM0504-13;BC0504;Natureza da Informação;
ESZS008-13;EN3210;Navegação Inercial e GPS;
ESZG021-13;EN3549;Negociação e Solução de Conflitos Organizacionais;
ESZR009-13;CS3311;Negociações Internacionais, Propriedade Intelectual e Transferência Tecnológica;
MCTC004-13;MC8104;Neuroanatomia;
MCZC008-13;MC8109;Neuroarte;
MCTC005-13;MC8200;Neurobiologia do Comportamento;
MCTC006-13;MC8101;Neurobiologia Molecular e Celular;
ESZX022-13;EN3315;Neuromecânica do Movimento Humano;
ESZB012-13;EN3338;Neuromecânica do Movimento Humano;
NHZ3043-13;BC1306;Noções de Astronomia e Cosmologia;
ESZX136-13;EN3323;Normas de Segurança e Desempenho Aplicadas a Equipamentos Médicos e Hospitalares;
ESZE003-13;EN3449;Normas de Segurança para Sistemas Energéticos;
ESZX085-13;EN4110;Oceanografia Costeira para Engenharia Ambiental e Urbana;
ESHT014-13;BH1352;Oficina de Planejamento de Áreas Periurbanas, Interioranas e Rurais;
ESHT016-13;BH1353;Oficina de Planejamento e Governança Metropolitana;
ESHT013-13;BH1354;Oficina de Planejamento Macro e Meso Regional;
ESHT015-13;BH1355;Oficina de Planejamento Urbano;
ESZT007-13;CS3405;Oficina de Projeto Urbano;
ESTI009-13;EN2613;Ondas Eletromagnéticas Aplicadas;
ESTE009-13;EN2409;Operação de Sistemas Elétricos de Potência;
ESZE035-13;EN3421;Operações e Equipamentos Industriais I;
ESZE036-13;EN3422;Operações e Equipamentos Industriais II;
NHZ4028-09;NH3001;Operações Unitárias I;
NHZ4029-09;NH3106;Operações Unitárias II;
NHT3044-13;BC1219;Óptica;
ESZX141-13;EN3719;Óptica Integrada;
ESZA016-13;EN3717;Optoeletrônica;
ESZP005-13;CS3107;Orçamento e Política Orçamentária;
MCZA016-13;MC7105;Organização de Projeto;
ESTX060-13;EN2518;Organização do Trabalho;
ESTG012-13;EN2530;Organização do Trabalho;
BIL0304-13;BC0304;Origem da Vida e Diversidade dos Seres Vivos;
ESZX006-13;EN3208;Otimização em Projetos de Estruturas;
ESZS010-13;EN3228;Otimização em Projetos de Estruturas;
ESZX078-13;EN4103;Paisagismo e Gestão de Unidades de Conservação;
MCTA016-13;MC3308;Paradigmas de Programação;
NHZ1037-09;NH1012;Parasitologia;
MCZC001-13;MC8001;Patologias do Sistema Nervoso Central;
ESZT008-13;CS3410;Patrimônio Cultural e Paisagem ;
BHP0202-13;BH0202;Pensamento Crítico;
BHO0103-13;BH0103;Pensamento Econômico;
NHZ2051-11;NH5119;Pensamento Hegeliano e seus Desdobramentos Contemporâneos;
NHZ2052-11;NH5116;Pensamento Kantiano e seus Desdobramentos Contemporâneos;
ESZP006-13;CS3101;Pensamento Latino-Americano e Políticas de CT&I ;
NHZ2053-11;NH5117;Pensamento Marxista e seus Desdobramentos Contemporâneos;
NHZ2054-11;NH5118;Pensamento Nietzcheano e seus Desdobramentos Contemporâneos;
MCZB026-13;MC2313;Percolação ;
ESZP030-13;CS4122;Perspectiva de Análise do Estado e das Políticas Públicas;
NHZ2055-11;NH5110;Perspectivas Críticas da Filosofia Contemporânea;
MCTC007-13;MC8300;Pesquisa e Comunicação Científica;
NHZ2056-11;NH5132;Pesquisa em Filosofia;
ESTX062-13;EN2523;Pesquisa Operacional;
ESTG013-13;EN2531;Pesquisa Operacional;
ESZG006-13;EN3529;Pesquisa Operacional Aplicada;
ESZE064-13;EN4418;Petrofísica;
ESZS013-13;EN3215;Placas e Cascas;
ESZX097-13;EN4426;Planejamento da Operação de Sistemas Hidrotérmicos de Potência;
ESZX048-13;EN3511;Planejamento de Experimentos;
ESZI022-13;EN3627;Planejamento de Redes de Informação;
ESTG014-13;EN2529;Planejamento e Controle da Produção;
ESTX057-13;EN2509;Planejamento e Controle de Produção;
ESZG010-13;EN3520;Planejamento e Controle de Projetos;
ESZT009-13;CS3404;Planejamento e Gestão de Redes Técnicas e Sistemas Territoriais;
ESHT017-13;BH1356;Planejamento e Política Ambiental;
ESHT018-13;BH1357;Planejamento e Política Regional;
ESHT019-13;BH1358;Planejamento e Política Rural;
ESZG011-13;EN3550;Planejamento Estratégico em Gestão de Projetos;
ESTU011-13;EN2124;Planejamento Urbano e Metropolitano;
NHZ2057-11;NH5128;Poder e Cultura na Sociedade da Informação;
ESZT011-13;CS3411;Política Habitacional;
ESHR012-13;BH1337;Política Internacional dos EUA e da União Europeia;
ESHT020-13;BH1359;Política Metropolitana;
ESHT021-13;BH1360;Política Urbana;
ESZP007-13;BH1149;Políticas Culturais;
ESZC015-13;CS3208;Políticas de CT&I no Brasil: Arranjos Institucionais, Mecanismos de Incentivo e Desafios para o Desenvolvimento ;
ESZT010-13;CS3112;Políticas de Infraestrutura;
