SIGLA;CÓDIGO;DISCIPLINA;
NHI5011-13;BC1624;Políticas Educacionais;
ESZP008-13;CS3109;Políticas Públicas de Gênero, Etnia e Geração;
ESZP009-13;BH1329;Políticas Públicas de Intervenção Territorial no Brasil;
ESHP017-13;BH1128;Políticas Públicas Sul-Americanas;
ESHP018-13;BH1108;Políticas Sociais;
ESTU012-13;EN2115;Poluição Atmosférica;
NHZ2058-11;NH5122;Pragmatismo;
NHH2059-13;BH1222;Prática de Ensino de Filosofia I;
NHH2060-13;BH1223;Prática de Ensino de Filosofia II;
NHH2061-13;BH1224;Prática de Ensino de Filosofia III;
NHH2062-13;BH1225;Prática de Ensino de Filosofia IV;
NHH2063-13;BH1226;Prática de Ensino de Filosofia V;
NHT5012-13;NH4304;Práticas de Ciências no Ensino Fundamental;
NHT1038-13;BC1305;Práticas de Ecologia;
NHT1039-13;NH4101;Práticas de Ensino de Biologia I;
NHT1040-13;NH4201;Práticas de Ensino de Biologia II;
NHT1041-13;NH4301;Práticas de Ensino de Biologia III;
NHT5013-13;BC1625;Práticas de Ensino de Ciências e Matemática no Ensino Fundamental;
NHT3045-13;NH4102;Práticas de Ensino de Física I;
NHT3046-13;NH4202;Práticas de Ensino de Física II;
NHT3047-13;NH4302;Práticas de Ensino de Física III;
MCTD014-13;MC8105;Práticas de Ensino de Matemática I;
MCTD012-13;MC8206;Práticas de Ensino de Matemática II;
MCTD013-13;MC8307;Práticas de Ensino de Matemática III;
MCTD011-13;MC8308;Práticas de Ensino de Matemática no Ensino Fundamental;
NHT4030-13;NH4103;Práticas de Ensino de Química I;
NHT4031-13;NH4203;Práticas de Ensino de Química II;
NHT4032-13;NH4303;Práticas de Ensino de Química III;
NHT5013-09;NH4801;Práticas de Ensino em Ciências e Matemática I;
NHZ4048-09;NH3107;Práticas de Escrita em Inglês para Química e Ciências Afins;
NHZ4033-09;NH3104;Práticas de Química Verde;
NHT4034-09;BC1304;Princípios de Análise Química;
ESTI004-13;EN2608;Princípios de Comunicação;
ESTB015-13;EN2326;Princípios de Ética em Serviços de Saúde;
ESTX030-13;EN2311;Princípios de Imagens Médicas;
ESTB009-13;EN2332;Princípios de Imagens Médicas;
NHT3048-13;NH4399;Princípios de Mecânica Quântica;
MCZB027-13;BC1436;Princípios de Simulação Matemática;
NHT3049-13;BC1330;Princípios de Termodinâmica;
ESTX027-13;EN2308;Princípios e Aplicações de Biomecânica;
ESTB007-13;EN2333;Princípios e Aplicações de Biomecânica;
ESZM011-13;EN3811;Princípios Moleculares em Biomateriais;
MCTB021-13;MC1202;Probabilidade;
MCZX023-13;BC1428;Probabilidade e Estatística;
NHH2064-13;BH1220;Problemas Metafísicos: Perspectivas Contemporâneas ;
NHH2065-13;BH1219;Problemas Metafísicos: Perspectivas Modernas;
BHP0203-13;BH0203;Problemas Metodológicos das Ciências Sociais;
ESZX067-13;EN3718;Processadores Digitais em Controle e Automação;
ESZA005-13;EN3727;Processadores Digitais em Controle e Automação;
BCM0505-13;BC0505;Processamento da Informação;
ESZM020-13;EN3818;Processamento de Cerâmicas;
ESZB010-13;EN3341;Processamento de Imagens Médicas;
ESZX105-13;EN3312;Processamento de Imagens Médicas;
ESZI003-13;EN3605;Processamento de Informação em Línguas Naturais;
MCZA017-13;MC7106;Processamento de Linguagem Natural;
MCTC008-13;MC8103;Processamento de Sinais Neurais;
ESZI009-13;EN3612;Processamento de Vídeo;
MCZX006-13;BC1505;Processamento Digital de Imagens;
MCZA018-13;MC7107;Processamento Digital de Imagens;
ESTI006-13;EN2610;Processamento Digital de Sinais;
ESZX015-13;EN3304;Processamento e Análise de Falhas em Biomateriais;
ESZB004-13;EN3326;Processamento e Análise de Falhas em Biomateriais;
ESTX028-13;EN2309;Processamento e Análise de Sinais Biomédicos;
ESZB003-13;EN3325;Processamento e Análise de Sinais Biomédicos;
ESZM026-13;EN3824;Processamento e Conformação de Metais;
ESZX044-13;EN3505;Processos Contínuos de Produção;
ESZX102-13;EN3537;Processos Contínuos de Produção;
ESZX139-13;EN3509;Processos de Produção na Indústria da Construção Civil;
ESZX112-13;EN3508;Processos Discretos de Produção;
MCZB028-13;MC2301;Processos Estocásticos;
NHZ4035-09;BC1440;Processos Industriais Orgânicos e Inorgânicos;
ESZE031-13;EN3417;Processos Termoquímicos de Conversão Energética;
ESZI011-13;EN3616;Programação de Dispositivos Móveis;
ESTI001-13;EN2622;Programação de Software Embarcado;
MCTA017-13;BC1432;Programação Matemática;
MCTA018-13;BC1501;Programação Orientada a Objetos;
MCZA019-13;MC0037;Programação para Web;
MCZA020-13;MC4002;Programação Paralela;
MCTC009-13;MC7007;Progressos e Métodos em Neurociência;
ESZX061-13;EN3603;Projeto de Alta Frequência;
ESZI020-13;EN3625;Projeto de Alta Frequência;
ESTS013-13;EN2225;Projeto de Elementos Estruturais de Aeronaves I;
ESZS015-13;EN3232;Projeto de Elementos Estruturais de Aeronaves II;
ESTX072-13;EN2618;Projeto de Filtros Digitais;
ESZI016-13;EN3621;Projeto de Filtros Digitais;
MCTA019-13;MC3104;Projeto de Graduação em Computação I;
MCTA020-13;MC7108;Projeto de Graduação em Computação II;
MCTA021-13;MC7109;Projeto de Graduação em Computação III;
ESZA014-13;EN3715;Projeto de Microdispositivos para Instrumentação;
MCZA021-13;MC6003;Projeto de Redes;
ESZI023-13;EN3628;Projeto de Sistemas de Comunicação;
ESZX068-13;EN3720;Projeto de Sistemas Digitais com VHDL e Implementação em FPGAs;
ESZI024-13;EN3629;Projeto de Sistemas Multimídia;
BIS0002-13;BC0002;Projeto Dirigido;
ESZB017-13;EN3335;Projeto e Desenvolvimento de Sistemas  para Análise de Dados Médicos;
ESZX108-13;EN3320;Projeto e Desenvolvimentos de Sistemas para Análise de Dados Médicos;
MCZA022-13;MC7115;Projeto Interdisciplinar;
ESZS026-13;EN3226;Projeto Térmico de Veículos Espaciais;
ESZG012-13;EN3521;Projetos Industriais;
ESTI011-13;EN2615;Propagação e Antenas;
ESTG015-13;EN2513;Propriedade Intelectual;
ESTM011-13;EN2817;Propriedades Elétricas, Magnéticas e Ópticas;
NHZ3050-09;NH2123;Propriedades Magnéticas e Eletrônicas;
ESTM010-13;EN2816;Propriedades Mecânicas e Térmicas;
ESZX011-13;EN3225;Propulsão Aeroespacial;
ESZS023-13;EN3222;Propulsão Aeroespacial Não-Convencional;
ESZG015-13;EN3551;Prospecção Tecnológica aplicada à Engenharia;
ESZE013-13;EN3454;Proteção de Sistemas Elétricos de Potência;
MCTC010-13;MC7006;Psicofarmacologia;
MCTC011-13;BC1006;Psicologia Cognitiva;
MCZC006-13;BC1901;Psicologia da Educação;
MCTC012-13;MC8100;Psicologia Experimental;
ESZX026-13;EN3402;Qualidade da Energia Elétrica;
ESZE007-13;EN3466;Qualidade da Energia Elétrica;
ESZB011-13;EN3331;Qualidade de Imagens Médicas;
ESTG016-13;EN2516;Qualidade em Sistemas;
ESZX115-13;EN4116;Questões Ambientais e Globais;
ESZU016-13;EN3116;Questões Ambientais Globais;
NHZ5014-09;NH4107;Questões Atuais no Ensino de Ciências;
NHZ4036-09;NH3812;Química Ambiental;
NHT4034-13;BC1399;Química Analítica Clássica I;
NHT4026-13;NH3599;Química Analítica Clássica II;
NHT4001-13;NH3598;Química Analítica Instrumental;
NHT4048-13;NH3904;Química de Coordenação;
ESZE066-13;EN4420;Química do Petróleo;
NHT4037-13;BC1302;Química dos Elementos;
NHZ4038-09;NH3005;Química dos Materiais;
NHZ4039-09;NH3002;Química Forense;
ESZM004-13;EN3804;Química Inorgânica de Materiais;
NHT4040-13;NH3902;Química Orgânica Aplicada;
ESZM003-13;EN3803;Química Orgânica de Materiais e Biomateriais;
NHT4041-13;NH3801;Química Orgânica Experimental;
NHZ3051-09;NH2222;Radiações Eletromagnéticas;
NHT0001-10;BC1205;Reações Nucleares;
ESZE038-13;EN3436;Reações Nucleares;
ESZM005-13;EN3805;Reciclagem e Ambiente;
ESZU023-13;BC1005;Recursos Hídricos;
MCZA023-13;MC6001;Redes Convergentes;
ESZI005-13;EN3608;Redes de Alta Velocidade;
ESZA009-13;EN3726;Redes de Barramento de Campo;
MCTA022-13;BC1513;Redes de Computadores;
ESZE014-13;EN3455;Redes de Distribuição de Energia Elétrica;
MCZA024-13;MC6006;Redes sem Fio;
ESZE027-13;EN3416;Refrigeração e Condicionamento de Ar;
ESHR013-13;BH1338;Regime Internacional dos Direitos Humanos e a Estratégia Brasileira;
ESZR010-13;CS3304;Regimes de Negociação Ambiental Internacional e a Estratégia Brasileira;
ESZR011-13;CS3312;Regimes de Negociação Comercial Internacional e a Estratégia Brasileira ;
ESZR012-13;CS3313;Regimes de Negociação Financeira Internacional e a Estratégia Brasileira ;
ESHP019-13;BH1121;Regimes e Formas de Governo;
ESTU013-13;EN2131;Regulação Ambiental e Urbana;
ESZP010-13;CS3108;Regulação e Agências Reguladoras no Contexto Brasileiro;
ESZC016-13;CS3209;Regulação e Instituições;
ESZE015-13;EN3457;Regulação e Mercado de Energia Elétrica;
ESHT022-13;BH1361;Regulação Urbanística e Ambiental;
ESHR014-13;BH1102;Relações Internacionais e Globalização;
ESTX083-13;EN2818;Reologia;
ESTM012-13;EN2822;Reologia I;
ESZM018-13;EN3832;Reologia II;
ESZE045-13;EN3443;Resíduos Nucleares;
ESTX001-13;EN2121;Resíduos Sólidos;
ESTU014-13;EN2139;Resíduos Sólidos;
ESZX140-13;EN3523;Riscos;
ESZA020-13;EN3704;Robôs Móveis Autônomos;
ESZT012-13;CS3412;Saneamento Ambiental;
ESTU015-13;EN2126;Saúde Ambiental;
MCTA023-13;BC1523;Segurança de Dados;
ESZE044-13;EN3442;Segurança de Instalações Nucleares;
ESZI008-13;EN3611;Segurança de Redes;
ESZT013-13;CS3413;Segurança dos Territórios;
MCZA025-13;MC6005;Segurança em Redes;
ESHR015-13;BH1339;Segurança Internacional em Perspectiva Histórica e Desafios Contemporâneos;
ESTM013-13;EN2819;Seleção de Materiais;
NHZ1042-09;NH1014;Seminários em Biologia I;
NHZ1043-09;NH1015;Seminários em Biologia II;
ESZM001-13;EN3801;Seminários em Materiais Avançados;
NHZ4042-09;NH3105;Seminários em Química I;
NHZ4043-09;NH3205;Seminários em Química II;
MCTC013-13;MC8099;Sensação e Percepção;
ESTA010-13;EN2712;Sensores e Transdutores;
ESZU017-13;EN3107;Sensoriamento Remoto;
ESZX082-13;EN4107;Sensoriamento Remoto;
MCTB022-13;BC1407;Sequências e Séries;
ESZA010-13;EN3706;Servo-Sistema para Robôs e Acionamento para Sistemas Mecatrônicos;
ESHR016-13;BH1154;SFI: de Bretton Woods ao non-sistema;
ESZM025-13;EN3823;Siderurgia e Engenharia dos Aços;
ESZG007-13;EN3525;Simulação de Modelos de Gestão;
ESZI010-13;EN3615;Simulação de Sistemas de Comunicação;
ESZS005-13;EN3207;Simulação de Voo e Ambientes Virtuais;
ESZM017-13;EN3816;Simulação e Processamento de Polímeros;
ESTI005-13;EN2609;Sinais Aleatórios;
ESZM016-13;EN3815;Síntese de Polímeros;
ESHR017-13;BH1340;Sistema ONU e os Desafios do Multilateralismo;
NHT1044-13;BC1321;Sistemas Biológicos I;
NHT1045-13;BC1322;Sistemas Biológicos II;
NHT1046-13;BC1324;Sistemas Biológicos III;
NHT1047-13;BC1325;Sistemas Biológicos IV;
ESTA014-13;EN2716;Sistemas CAD/CAM;
ESTX016-13;EN2117;Sistemas de Abastecimento de Águas;
ESTA003-13;EN2704;Sistemas de Controle I;
ESTA008-13;EN2710;Sistemas de Controle II;
ESZA001-13;EN3708;Sistemas de Controle III;
ESTX092-13;EN2118;Sistemas de Esgotos e Drenagem Urbana;
ESTU017-13;EN2138;Sistemas de Esgotos e Drenagem Urbana;
ESTX058-13;EN2512;Sistemas de Fabricação;
MCZA026-13;MC7114;Sistemas de Gerenciamento de Banco de Dados;
MCZA027-13;BC1510;Sistemas de Informação;
ESZX060-13;EN3602;Sistemas de Microondas;
ESZI019-13;EN3624;Sistemas de Micro-ondas;
ESZX027-13;EN3403;Sistemas de Potência I;
ESZE008-13;EN3460;Sistemas de Potência I;
ESZX028-13;EN3404;Sistemas de Potência II;
ESZE009-13;EN3456;Sistemas de Potência II;
ESTS017-13;EN2227;Sistemas de Propulsão I;
ESZS021-13;EN3231;Sistemas de Propulsão II;
ESTX093-13;EN2120;Sistemas de Tratamento de Águas e Efluentes;
ESTU018-13;EN2140;Sistemas de Tratamento de Águas e Efluentes;
MCTA024-13;MC3304;Sistemas Digitais;
MCTA025-13;MC3105;Sistemas Distribuídos;
ESTG020-13;EN2537;Sistemas e Processos de Produção;
ESZE024-13;EN3465;Sistemas Fluidomecânicos;
ESTX061-13;EN2519;Sistemas Integrados de Gestão da Qualidade Ambiental, Segurança e Saúde;
ESZI014-13;EN3619;Sistemas Inteligentes;
ESTI013-13;EN2617;Sistemas Microprocessados;
MCZA028-13;MC5001;Sistemas Multiagentes;
MCZA029-13;MC7102;Sistemas Multimídia;
MCTA026-13;BC1518;Sistemas Operacionais;
ESTX039-13;EN2404;Sistemas Térmicos;
ESTE014-13;EN2426;Sistemas Térmicos;
NHT1048-13;NH1602;Sistemática e Biogeografia;
ESHR018-13;BH1155;Sociedade Civil Organizada Global;
ESZX049-13;EN3515;Sociologia das Organizações;
ESHT023-13;BH1362;Sociologia dos Territórios;
ESTX041-13;EN2407;Subestação e Equipamentos;
ESZE006-13;EN3452;Subestação e Equipamentos;
ESZE005-13;EN3451;Supervisão e Confiabilidade de Projetos Energéticos;
ESZX066-13;EN3716;Supervisão e Monitoramento de Processos Energéticos;
ESZA015-13;EN3728;Supervisão e Monitoramento de Processos Energéticos;
ESHR019-13;BH1341;Surgimento da China como Potência Mundial;
ESZT014-13;CS3407;Sustentabilidade e Indicadores;
ESHR901-13;BH1422;TCC de Relações Internacionais I;
ESHR902-13;BH1423;TCC de Relações Internacionais II;
NHZ4044-09;NH3003;Técnicas Aplicadas a Processos Biotecnológicos;
ESZX042-13;EN3501;Técnicas Avançadas de Gestão da Produção;
ESTX014-13;EN2209;Técnicas de Análise Estrutural e Projeto;
ESTS010-13;EN2233;Técnicas de Análise Estrutural e Projeto;
ESZX135-13;EN3317;Técnicas de Análise Estrutural e Projeto de Sistemas Dinâmicos;
ESZX134-13;EN3313;Técnicas de Imageamento e Metrologia Óptica no Macro e Microdiagnóstico de Sistemas Biológicos;
ESZG004-13;EN3547;Técnicas de Tomadas de Decisão aplicáveis em Modelos de Dependência ;
ESZG005-13;EN3548;Técnicas de Tomadas de Decisão aplicáveis em Modelos de Interdependência ;
ESHC901-13;BH1406;Técnicas em Pesquisa;
ESZS022-13;EN3220;Técnicas Experimentais em Propulsão;
ESZB009-13;EN3330;Técnicas Modernas em Fotodiagnóstico;
ESZB008-13;EN3329;Técnicas Modernas em Fototerapia;
ESZX103-13;EN3311;Técnicas Nucleares Aplicadas às Ciências da Saúde;
ESZE017-13;EN3407;Tecnologia da Combustão;
ESTG018-13;EN2515;Tecnologia da Informação;
ESZM013-13;EN3812;Tecnologia de Elastômeros;
ESZX036-13;EN3420;Tecnologia de Produção de Biodiesel;
ESZX035-13;EN3419;Tecnologia de Produção de Etanol;
ESZX062-13;EN3607;Tecnologia de Redes Ópticas;
ESZI018-13;EN3623;Tecnologia de Redes Ópticas;
NHZ3052-13;NH2041;Tecnologia do Vácuo e Criogenia;
ESZX138-13;EN3447;Tecnologias Emergentes de Conversão Energética;
ESZP031-13;CS4123;Tecnologias Sociais;
ESTI014-13;EN2619;Telefonia Fixa Moderna;
ESZB016-13;EN3334;Telemedicina e Sistemas de Apoio a Decisão;
ESHP020-13;BH1305;Temas Contemporâneos;
ESZG027-13;EN3552;Temas Contemporâneos de Custos em Sistemas de Gestão;
NHZ2066-11;NH5133;Temas da Filosofia Antiga;
NHZ2067-11;NH5136;Temas da Filosofia Contemporânea;
NHZ2068-11;NH5134;Temas da Filosofia Medieval;
NHZ2069-11;NH5135;Temas da Filosofia Moderna;
NHZ2070-11;NH5123;Temas de Lógica;
BHP0201-13;BH0201;Temas e Problemas em Filosofia;
ESTG019-13;EN2508;Tempos, Métodos e Arranjos Físicos;
MCTD015-13;MC8209;Tendências em Educação Matemática;
MCTB023-13;BC1405;Teoria Aritmética dos Números;
MCZB030-13;BC1402;Teoria Axiomática dos Conjuntos;
NHZ3053-13;NH2022;Teoria Clássica dos Campos;
NHZ2071-11;NH5112;Teoria Crítica e Escola de Frankfurt;
NHT2081-09;BC1611;Teoria da Ciência;
ESZS011-13;EN3213;Teoria da Elasticidade;
ESTI008-13;EN2612;Teoria da Informação e Códigos;
MCTB020-13;MC1104;Teoria da Medida e Integração;
MCZB033-13;BC1622;Teoria da Recursão e Computabilidade;enviada 14/11
NHT3054-13;BC1220;Teoria da Relatividade;
ESZG008-13;EN3527;Teoria das Decisões;
MCTX008-13;MC1308;Teoria das Distribuições;
MCZB032-13;MC2311;Teoria das Filas;
ESZA006-13;EN3721;Teoria de Controle Ótimo;
ESZI006-13;EN3609;Teoria de Filas e Análise de Desempenho;
NHZ3056-13;NH2040;Teoria de Grupos em Física;
NHZ5015-09;BC1013;Teoria do Conhecimento Científico;
NHH2072-13;BH1217;Teoria do conhecimento: a epistemologia contemporânea;
NHH2073-13;BH1215;Teoria do Conhecimento: Empirismo versus Racionalismo;
ESTU019-13;EN2102;Teoria do Planejamento Urbano e Ambiental;
MCTA027-13;BC1429;Teoria dos Grafos;
MCZB031-13;MC2206;Teoria dos Jogos;
NHT3055-13;BC1218;Teoria Eletromagnética;
ESHR020-13;BH1156;Teorias Contemporâneas de RI ;
BHP0206-13;BH0206;Teorias da Justiça;
ESTO010-13;BC1309;Termodinâmica Aplicada I;
ESTX043-13;EN2413;Termodinâmica Aplicada II;
ESTE010-13;EN2427;Termodinâmica Aplicada II;
ESTM009-13;EN2815;Termodinâmica Estatística de Materiais;
ESZE042-13;EN3439;Termo-Hidráulica de Reatores Nucleares I;
ESZE043-13;EN3441;Termo-Hidráulica de Reatores Nucleares II;
NHT4045-13;NH3602;Termoquímica;
ESZT015-13;CS3414;Território e Logística;
BHQ0301-13;BH0301;Território e Sociedade;
ESZP032-13;CS4124;Terrorismo, Violência e Segurança Pública;
MCZC009-13;MC8107;Tomada de Decisões e Neuroeconomia;
ESZC018-13;CS3211;Tópicos Avançados em Macroeconomia;
NHZ2074-11;NH5137;Tópicos Avançados em Modalidades: Lógica Deôntica e Lógica Epistêmica;
ESTM003-13;EN2809;Tópicos Computacionais em Materiais;
NHZ2075-11;NH5106;Tópicos de História da Ciência;
NHZ2076-11;NH5125;Tópicos de Lógicas Não-Clássicas;
NHZ2078-08;NH1001;Tópicos de Metodologia da Ciência;
ESZE016-13;EN3458;Tópicos de Otimização em Sistemas Elétricos de Potência e Aplicações;
NHZ3057-09;NH2002;Tópicos em Física Contemporânea;
NHZ3058-09;NH2001;Tópicos em Física Experimental;
NHZ2077-11;NH5120;Tópicos em Teoria do Conhecimento;
ESZU018-13;EN3123;Tópicos Especiais em Engenharia Ambiental e Urbana;
ESZX095-13;EN4123;Tópicos Especiais em Engenharia Ambiental e Urbana;
ESZG022-13;EN3553;Tópicos Especiais em Engenharia Organizacional;
ESTX082-13;EN2806;Tópicos Experimentais em Materiais;
ESTM002-13;EN2821;Tópicos Experimentais em Materiais I;
ESZM012-13;EN3831;Tópicos Experimentais em Materiais II;
MCTB026-13;MC1204;Topologia I;
NHZ1050-09;NH1016;Toxicologia;
ESHP900-13;BH1424;Trabalho de Conclusão de Curso de Políticas Públicas I;
ESHP901-13;BH1425;Trabalho de Conclusão de Curso de Políticas Públicas II;
NHT1049-13;NH1017;Trabalho de Conclusão de Curso em Biologia;
NHT3059-13;NH2000;Trabalho de Conclusão de Curso em Física;
MCTB024-13;MC2110;Trabalho de Conclusão de Curso em Matemática I;
MCTB025-13;MC2111;Trabalho de Conclusão de Curso em Matemática II;
MCTB027-13;;Trabalho de Conclusão de Curso em Matemática III;
NHT4046-13;NH3201;Trabalho de Conclusão de Curso em Química;
ESHT900-13;BH1426;Trabalho de Conclusão de Curso I;
ESHT901-13;BH1427;Trabalho de Conclusão de Curso II;
ESTX100-13;EN1007;Trabalho de Graduação I;
ESTS902-13;EN1203;Trabalho de Graduação I em Engenharia Aeroespacial;
ESTU902-13;EN1103;Trabalho de Graduação I em Engenharia Ambiental e Urbana;
ESTB902-13;EN1303;Trabalho de Graduação I em Engenharia Biomédica;
ESTE902-13;EN1403;Trabalho de Graduação I em Engenharia de Energia;
ESTG902-13;EN1503;Trabalho de Graduação I em Engenharia de Gestão;
ESTI902-13;EN1603;Trabalho de Graduação I em Engenharia de Informação;
ESTA902-13;EN1703;Trabalho de Graduação I em Engenharia de Instrumentação, Automação e Robótica;
ESTM902-13;EN1803;Trabalho de Graduação I em Engenharia de Materiais;
ESTX101-13;EN1008;Trabalho de Graduação II;
ESTS903-13;EN1204;Trabalho de Graduação II em Engenharia Aeroespacial;
ESTU903-13;EN1104;Trabalho de Graduação II em Engenharia Ambiental e Urbana;
ESTB903-13;EN1304;Trabalho de Graduação II em Engenharia Biomédica;
ESTE903-13;EN1404;Trabalho de Graduação II em Engenharia de Energia;
ESTG903-13;EN1504;Trabalho de Graduação II em Engenharia de Gestão;
ESTI903-13;EN1604;Trabalho de Graduação II em Engenharia de Informação;
ESTA903-13;EN1704;Trabalho de Graduação II em Engenharia de Instrumentação, Automação e Robótica;
ESTM903-13;EN1804;Trabalho de Graduação II em Engenharia de Materiais;
ESTX102-13;EN1009;Trabalho de Graduação III;
ESTS904-13;EN1205;Trabalho de Graduação III em Engenharia Aeroespacial;
ESTU904-13;EN1105;Trabalho de Graduação III em Engenharia Ambiental e Urbana;
ESTB904-13;EN1305;Trabalho de Graduação III em Engenharia Biomédica;
ESTE904-13;EN1405;Trabalho de Graduação III em Engenharia de Energia;
ESTG904-13;EN1505;Trabalho de Graduação III em Engenharia de Gestão;
ESTI904-13;EN1605;Trabalho de Graduação III em Engenharia de Informação;
ESTA904-13;EN1705;Trabalho de Graduação III em Engenharia de Instrumentação, Automação e Robótica;
ESTM904-13;EN1805;Trabalho de Graduação III em Engenharia de Materiais;
ESZR013-13;CS3314;Trajetória da OPEP e da Agência Internacional de Energia (IEA);
ESZR014-13;CS3301;Trajetória de Desenvolvimento de Países Exportadores de Petróleo;
ESZR015-13;CS3315;Trajetória dos Investimentos Produtivos no Brasil e do Brasil;
ESHR021-13;BH1342;Trajetória Internacional do Continente Africano e do Oriente Médio;
ESHP021-13;BH1402;Trajetórias das Políticas de CT&I no Brasil;
ESTS018-13;EN2229;Transferência de Calor Aplicada a Sistemas Aeroespaciais;
ESZX012-13;EN3227;Transferência de Calor Aplicada a Sistemas Aeroespaciais;
ESZE029-13;EN3473;Transferência de Calor e Mecânica dos Fluidos Computacional I;
ESZE030-13;EN3474;Transferência de Calor e Mecânica dos Fluidos Computacional II;
ESTE012-13;EN2410;Transferência de Calor I;
ESTE013-13;EN2411;Transferência de Calor II;
ESZX030-13;EN3410;Transferência de Calor Industrial;
ESZE020-13;EN3467;Transferência de Calor Industrial;
ESTU020-13;EN2103;Transferência de Massa;
ESZG016-13;EN3554;Transferência de Tecnologia;
BCL0308-13;BC0308;Transformações Bioquímicas;
BCL0306-13;BC0306;Transformações nos Seres Vivos e Ambiente;
BCL0307-13;BC0307;Transformações Químicas;
NHZ4047-09;NH3102;Transformações Químicas no Meio Ambiente;
ESTI003-13;BC1509;Transformadas em Sinais e Sistemas Lineares;
ESTX095-13;EN2607;Transformadas em Sinais e Sistemas Lineares;
ESZE065-13;EN4419;Transporte de Petróleo e Gás Natural;
ESZU019-13;EN3112;Transportes e Meio Ambiente;
ESTX003-13;EN2123;Transportes e Mobilidade Urbana;
ESTU021-13;EN2136;Transportes e Mobilidade Urbana;
ESZU020-13;EN3104;Transportes, Uso e Ocupação do Solo;
ESZE028-13;EN3434;Tubulações Industriais;
ESZX032-13;EN3412;Turbinas Térmicas de Potência;
ESZI004-13;EN3606;TV Digital;
ESZU021-13;EN3126;Unidades de Conservação da Natureza;
ESZP033-13;CS4125;Universo das Instituições Políticas no Brasil;
ESZT016-13;CS3403;Urbanização Brasileira;
ESHT024-13;BH1363;Uso do Solo Urbano;
ESTX047-13;EN2417;Uso Final de Energia e Eficiência Energética;
ESZE056-13;EN3463;Uso Final de Energia e Eficiência Energética;
ESZE026-13;EN3415;Ventilação Industrial e Ar Comprimido;
ESTS008-13;EN2221;Vibrações;
ESTX016-13;EN2212;Vibrações Lineares;
MCZA030-13;BC1511;Vida Artificial na Computação;
NHZ1051-09;NH1018;Virologia;
ESZA019-13;EN3702;Visão Computacional;
MCZA031-13;MC5006;Web Semântica;
